"congress","chamber","num_results","offset","members__id","members__title","members__short_title","members__api_uri","members__first_name","members__middle_name","members__last_name","members__suffix","members__date_of_birth","members__gender","members__party","members__leadership_role","members__twitter_account","members__facebook_account","members__youtube_account","members__govtrack_id","members__cspan_id","members__votesmart_id","members__icpsr_id","members__crp_id","members__google_entity_id","members__fec_candidate_id","members__url","members__rss_url","members__contact_form","members__in_office","members__cook_pvi","members__dw_nominate","members__ideal_point","members__seniority","members__next_election","members__total_votes","members__missed_votes","members__total_present","members__last_updated","members__ocd_id","members__office","members__phone","members__fax","members__state","members__district","members__at_large","members__geoid","members__missed_votes_pct","members__votes_with_party_pct","members__votes_against_party_pct"
"116","House","449","0","A000374","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000374.json","Ralph","null","Abraham","null","1954-09-16","M","R","","RepAbraham","CongressmanRalphAbraham","null","412630","76236","155414","21522","N00036633","/m/012dwd7_","H4LA05221","https://abraham.house.gov","https://abraham.house.gov/rss.xml","null","True","R+15","0.541","null","6","2020","928","351","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:la/cd:5","417 Cannon House Office Building","202-225-8490","null","LA","5","False","2205","37.82","94.93","4.90"
"","","","","A000370","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000370.json","Alma","null","Adams","null","1946-05-27","F","D","null","RepAdams","CongresswomanAdams","null","412607","76386","5935","21545","N00035451","/m/02b45d","H4NC12100","https://adams.house.gov","https://adams.house.gov/rss.xml","null","True","D+18","-0.466","null","8","2020","928","26","0","2020-11-29 21:00:29 -0500","ocd-division/country:us/state:nc/cd:12","2436 Rayburn House Office Building","202-225-1510","null","NC","12","False","3712","2.80","99.22","0.67"
"","","","","A000055","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000055.json","Robert","B.","Aderholt","null","1965-07-22","M","R","null","Robert_Aderholt","RobertAderholt","RobertAderholt","400004","45516","441","29701","N00003028","/m/024p03","H6AL04098","https://aderholt.house.gov","https://aderholt.house.gov/rss.xml","null","True","R+30","0.369","null","24","2020","928","55","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:al/cd:4","1203 Longworth House Office Building","202-225-4876","null","AL","4","False","0104","5.93","93.65","6.24"
"","","","","A000371","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000371.json","Pete","null","Aguilar","null","1979-06-19","M","D","null","reppeteaguilar","reppeteaguilar","null","412615","79994","70114","21506","N00033997","/m/0jwv0xf","H2CA31125","https://aguilar.house.gov","https://aguilar.house.gov/rss.xml","null","True","D+8","-0.291","null","6","2020","928","9","0","2020-11-29 21:00:27 -0500","ocd-division/country:us/state:ca/cd:31","109 Cannon House Office Building","202-225-3201","null","CA","31","False","0631","0.97","97.38","2.51"
"","","","","A000372","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000372.json","Rick","null","Allen","null","1951-11-07","M","R","null","reprickallen","CongressmanRickAllen","null","412625","62545","136062","21516","N00033720","/m/0127y9dk","H2GA12121","https://allen.house.gov","null","null","True","R+9","0.678","null","6","2020","928","2","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:ga/cd:12","2400 Rayburn House Office Building","202-225-2823","null","GA","12","False","1312","0.22","92.48","7.41"
"","","","","A000376","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000376.json","Colin","null","Allred","null","1983-04-15","M","D","null","RepColinAllred","null","null","412828","null","177357","null","N00040989","/m/03d066b","H8TX32098","https://allred.house.gov","null","null","True","R+5","null","null","2","2020","928","29","0","2020-11-29 21:00:27 -0500","ocd-division/country:us/state:tx/cd:32","328 Cannon House Office Building","202-225-2231","null","TX","32","False","4832","3.13","97.66","2.23"
"","","","","A000367","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000367.json","Justin","null","Amash","null","1980-04-18","M","I","","null","repjustinamash","repjustinamash","412438","1033767","105566","21143","N00031938","/m/0c00p_n","","https://amash.house.gov","https://amash.house.gov/rss.xml","null","True","R+6","null","null","10","2020","498","0","8","2020-11-29 21:00:25 -0500","ocd-division/country:us/state:mi/cd:3","null","null","null","MI","3","False","2603","0.00","59.51","40.49"
"","","","","A000367","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000367.json","Justin","null","Amash","null","1980-04-18","M","R","","null","repjustinamash","repjustinamash","412438","1033767","105566","21143","N00031938","/m/0c00p_n","H0MI03126","https://amash.house.gov","https://amash.house.gov/rss.xml","null","False","null","0.654","null","10","2020","430","0","5","2020-11-20 13:02:52 -0500","ocd-division/country:us/state:mi/cd:3","106 Cannon House Office Building","202-225-3831","null","MI","3","False","2603","0.00","61.97","37.79"
"","","","","A000369","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000369.json","Mark","null","Amodei","null","1958-06-12","M","R","null","MarkAmodeiNV2","MarkAmodeiNV2","markamodeinv2","412500","62817","12537","21196","N00031177","/m/03bzdkn","H2NV02395","https://amodei.house.gov","https://amodei.house.gov/rss/news-releases.xml","null","True","R+7","0.383","null","10","2020","928","35","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:nv/cd:2","104 Cannon House Office Building","202-225-6155","null","NV","2","False","3202","3.77","92.43","7.46"
"","","","","A000377","Representative","Rep.","https://api.propublica.org/congress/v1/members/A000377.json","Kelly","null","Armstrong","null","1976-10-08","M","R","null","RepArmstrongND","null","null","412794","null","139338","null","N00042868","/g/11hcszksh3","H8ND00096","https://armstrong.house.gov","null","null","True","R+16","null","null","2","2020","928","32","0","2020-11-29 21:00:26 -0500","ocd-division/country:us/state:nd/cd:1","1004 Longworth House Office Building","202-225-2611","null","ND","At-Large","True","3800","3.45","93.36","6.53"
